S.N,Date,Open,High,Low,Close,per_change,Qty,Turnover,EPS,PE
1655.0,2017-12-12,357.00,361.00,357.00,358.00,0.0,"10,265.00","36,94,414.00",13.51,26.4988897113249
1656.0,2017-12-11,357.00,360.00,357.00,357.00,0.0,"1,292.00","4,62,853.00",13.51,26.4248704663212
1657.0,2017-12-10,362.00,363.00,356.00,357.00,0.0,"7,932.00","28,49,917.00",13.51,26.4248704663212
1658.0,2017-12-06,363.00,365.00,358.00,362.00,0.0,"11,257.00","40,82,936.00",13.51,26.7949666913397
1659.0,2017-12-05,361.00,365.00,358.00,363.00,0.0,"9,511.00","34,30,554.00",13.51,26.8689859363434
1660.0,2017-12-04,370.00,371.00,358.00,361.00,0.0,"5,819.00","21,29,400.00",13.51,26.720947446336
1661.0,2017-11-30,367.00,372.00,365.00,370.00,0.0,"11,206.00","41,38,581.00",13.51,27.3871206513694
1662.0,2017-11-29,360.00,371.00,360.00,367.00,0.0,"24,683.00","90,86,891.00",13.51,27.1650629163583
1663.0,2017-11-28,362.00,365.00,358.00,360.00,0.0,"11,498.00","41,50,617.00",13.51,26.6469282013323
1664.0,2017-11-27,365.00,366.00,361.00,362.00,0.0,"16,846.00","61,23,729.00",13.51,26.7949666913397
1665.0,2017-11-26,360.00,365.00,360.00,365.00,0.0,"16,104.00","58,27,193.00",13.51,27.0170244263509
1666.0,2017-11-23,351.00,360.00,351.00,360.00,0.0,"7,226.00","25,83,453.00",13.51,26.6469282013323
1667.0,2017-11-22,350.00,351.00,346.00,351.00,0.0,"12,911.00","45,13,212.00",13.51,25.980754996299
1668.0,2017-11-21,345.00,351.00,344.00,350.00,0.0,"5,861.00","20,39,175.00",13.51,25.9067357512953
1669.0,2017-11-20,350.00,352.00,344.00,345.00,0.0,"27,602.00","95,57,933.00",13.51,25.5366395262768
1670.0,2017-11-19,351.00,355.00,343.00,350.00,0.0,"21,715.00","75,13,854.00",13.51,25.9067357512953
1671.0,2017-11-16,359.00,355.00,348.00,351.00,0.0,"15,488.00","54,09,316.00",13.51,25.980754996299
1672.0,2017-11-15,356.00,363.00,354.00,359.00,0.0,"11,657.00","41,76,097.00",13.51,26.5729089563286
1673.0,2017-11-14,353.00,359.00,350.00,356.00,0.0,"12,073.00","43,01,062.00",13.51,26.3508512213175
1674.0,2017-11-13,351.00,353.00,349.00,353.00,0.0,"14,865.00","52,11,871.00",13.51,26.1287934863064
1675.0,2017-11-12,340.00,351.00,340.00,351.00,0.0,"8,625.00","29,86,071.00",13.51,25.980754996299
1676.0,2017-11-09,340.00,345.00,335.00,340.00,0.0,"28,151.00","95,56,763.00",13.51,25.1665433012583
1677.0,2017-11-08,347.00,346.00,338.00,340.00,0.0,"19,862.00","67,83,227.00",13.51,25.1665433012583
1678.0,2017-11-07,354.00,360.00,347.00,347.00,0.0,"9,870.00","34,66,622.00",13.51,25.6846780162842
1679.0,2017-11-06,360.00,356.00,346.00,354.00,0.0,"3,918.00","13,73,239.00",13.51,26.2028127313101
1680.0,2017-11-05,353.00,360.00,347.00,360.00,0.0,"16,310.00","57,29,499.00",13.51,26.6469282013323
1681.0,2017-11-02,357.00,360.00,349.00,353.00,0.0,"10,044.00","35,55,485.00",13.51,26.1287934863064
1682.0,2017-11-01,363.00,363.00,357.00,357.00,0.0,"22,323.00","80,22,012.00",13.51,26.4248704663212
1683.0,2017-10-31,363.00,364.00,362.00,363.00,0.0,"3,442.00","12,49,414.00",13.51,26.8689859363434
1684.0,2017-10-30,358.00,363.00,353.00,363.00,0.0,"10,493.00","37,76,889.00",13.51,26.8689859363434
1685.0,2017-10-29,363.00,363.00,357.00,358.00,0.0,"11,839.00","42,43,612.00",13.51,26.4988897113249
1686.0,2017-10-25,362.00,365.00,359.00,363.00,0.0,"4,063.00","14,71,382.00",13.51,26.8689859363434
1687.0,2017-10-24,366.00,368.00,359.00,362.00,0.0,"20,778.00","75,24,672.00",13.51,26.7949666913397
1688.0,2017-10-23,369.00,370.00,348.00,366.00,0.0,"21,882.00","79,74,259.00",13.51,27.0910436713546
1689.0,2017-10-22,378.00,381.00,365.00,369.00,0.0,"33,415.00","1,24,37,374.00",13.51,27.3131014063657
1690.0,2017-10-18,375.00,378.00,369.00,378.00,0.0,"8,754.00","32,45,831.00",13.51,27.979274611399
1691.0,2017-10-17,372.00,382.00,363.00,375.00,0.0,"18,138.00","68,00,867.00",21.96,17.0765027322404
1692.0,2017-10-16,355.00,372.00,355.00,372.00,0.0,"11,856.00","42,88,337.00",21.96,16.9398907103825
1693.0,2017-10-15,354.00,355.00,349.00,355.00,0.0,"6,036.00","21,26,063.00",21.96,16.1657559198543
1694.0,2017-10-12,351.00,357.00,352.00,354.00,0.0,"8,392.00","29,66,373.00",21.96,16.120218579235
1695.0,2017-10-11,346.00,351.00,342.00,351.00,0.0,"8,660.00","30,17,574.00",21.96,15.983606557377
1696.0,2017-10-10,350.00,350.00,345.00,346.00,0.0,"12,361.00","42,94,248.00",21.96,15.7559198542805
1697.0,2017-10-09,348.00,352.00,342.00,350.00,0.0,"7,348.00","25,63,930.00",21.96,15.9380692167577
1698.0,2017-10-08,350.00,350.00,341.00,348.00,0.0,"13,409.00","46,35,856.00",21.96,15.8469945355191
1699.0,2017-10-04,365.00,369.00,350.00,350.00,0.0,"10,450.00","37,35,972.00",21.96,15.9380692167577
1700.0,2017-10-03,357.00,370.00,359.00,365.00,0.0,"3,978.00","14,50,215.00",21.96,16.6211293260474
1701.0,2017-09-26,356.00,360.00,354.00,357.00,0.0,"5,974.00","21,29,080.00",21.96,16.2568306010929
1702.0,2017-09-25,350.00,357.00,350.00,356.00,0.0,"5,365.00","18,96,436.00",21.96,16.2112932604736
1703.0,2017-09-24,348.00,351.00,344.00,350.00,0.0,"4,527.00","15,68,956.00",21.96,15.9380692167577
1704.0,2017-09-20,353.00,352.00,346.00,348.00,0.0,"8,406.00","29,25,734.00",21.96,15.8469945355191
1705.0,2017-09-18,353.00,357.00,352.00,353.00,0.0,"9,526.00","33,74,409.00",21.96,16.0746812386157
1706.0,2017-09-17,346.00,353.00,344.00,353.00,0.0,"10,391.00","36,31,450.00",21.96,16.0746812386157
1707.0,2017-09-14,340.00,349.00,335.00,346.00,0.0,"13,386.00","45,77,354.00",21.96,15.7559198542805
1708.0,2017-09-13,342.00,345.00,331.00,340.00,0.0,"9,124.00","31,02,232.00",21.96,15.4826958105647
1709.0,2017-09-12,346.00,345.00,335.00,342.00,0.0,"12,972.00","44,12,316.00",21.96,15.5737704918033
1710.0,2017-09-11,340.00,346.00,335.00,346.00,0.0,"14,034.00","47,95,628.00",21.96,15.7559198542805
1711.0,2017-09-10,345.00,345.00,339.00,340.00,0.0,"19,619.00","67,16,754.00",21.96,15.4826958105647
1712.0,2017-09-07,349.00,353.00,345.00,345.00,0.0,"10,659.00","37,13,515.00",21.96,15.7103825136612
1713.0,2017-09-06,346.00,358.00,345.00,349.00,0.0,"15,960.00","55,55,882.00",21.96,15.8925318761384
1714.0,2017-09-04,368.00,365.00,344.00,346.00,0.0,"23,965.00","83,36,997.00",21.96,15.7559198542805
1715.0,2017-08-31,451.00,450.00,438.00,441.00,0.0,"1,42,581.00","6,30,69,316.00",21.96,20.0819672131148
1716.0,2017-08-30,465.00,465.00,448.00,451.00,0.0,"87,940.00","3,97,99,420.00",21.96,20.5373406193078
1717.0,2017-08-28,470.00,472.00,462.00,465.00,0.0,"32,657.00","1,52,45,181.00",21.96,21.1748633879781
1718.0,2017-08-27,458.00,481.00,464.00,470.00,0.0,"62,701.00","2,95,42,108.00",21.96,21.4025500910747
1719.0,2017-08-24,455.00,460.00,455.00,458.00,0.0,"13,033.00","59,62,116.00",21.96,20.856102003643
1720.0,2017-08-23,457.00,463.00,451.00,455.00,0.0,"16,330.00","74,41,010.00",21.96,20.7194899817851
1721.0,2017-08-22,457.00,460.00,452.00,457.00,0.0,"13,414.00","61,36,628.00",21.96,20.8105646630237
1722.0,2017-08-21,456.00,460.00,449.00,457.00,0.0,"11,655.00","52,66,993.00",21.96,20.8105646630237
1723.0,2017-08-20,462.00,465.00,456.00,456.00,0.0,"18,074.00","83,15,734.00",21.96,20.7650273224044
1724.0,2017-08-17,462.00,470.00,460.00,462.00,0.0,"20,057.00","92,85,011.00",21.96,21.0382513661202
1725.0,2017-08-16,463.00,472.00,460.00,462.00,0.0,"17,261.00","79,95,071.00",21.96,21.0382513661202
1726.0,2017-08-15,467.00,470.00,459.00,463.00,0.0,"15,597.00","72,36,532.00",21.96,21.0837887067395
