S.N,Date,Open,High,Low,Close,per_change,Qty,Turnover,EPS,PE
581.0,2022-08-09,694.0,695.0,681.0,687.0,-1.01,47705.0,32747308.5,39.13,17.5568617429083
580.0,2022-08-10,680.1,683.0,665.1,674.0,-1.89,61587.0,41625686.1,39.13,17.224635829287
579.0,2022-08-11,665.0,677.0,665.0,669.0,-0.74,44403.0,29792160.9,39.13,17.0968566317404
578.0,2022-08-14,669.0,669.0,657.0,660.5,-1.27,49791.0,32910480.1,39.13,16.8796319959111
577.0,2022-08-15,650.0,666.5,648.0,666.5,0.91,66185.0,43502319.7,39.13,17.032967032967
576.0,2022-08-16,679.8,679.8,663.1,664.1,-0.36,59039.0,39346149.3,39.13,16.9716330181446
575.0,2022-08-17,665.0,665.0,657.0,660.0,-0.62,39009.0,25753896.0,39.13,16.8668540761564
574.0,2022-08-18,661.0,673.0,658.0,668.0,1.21,29374.0,19552327.1,39.13,17.071300792231
573.0,2022-08-21,669.9,675.0,665.0,667.0,-0.15,23208.0,15532671.9,39.13,17.0457449527217
572.0,2022-08-22,665.0,665.0,655.0,663.0,-0.6,29684.0,19656947.9,39.13,16.9435215946844
571.0,2022-08-23,667.9,667.9,661.0,662.0,-0.15,13142.0,8705774.5,39.13,16.9179657551751
570.0,2022-08-24,670.0,670.0,661.6,664.0,0.3,22672.0,15045337.9,39.13,16.9690774341937
569.0,2022-08-25,665.0,665.7,659.0,659.0,-0.75,33612.0,22244267.1,39.13,16.8412982366471
568.0,2022-08-26,657.0,660.0,652.0,655.0,-0.61,18693.0,12237204.0,39.13,16.7390748786098
567.0,2022-08-28,651.0,655.0,645.1,646.1,-1.36,45482.0,29472789.8,39.13,16.5116279069767
566.0,2022-08-29,645.0,650.0,644.1,649.0,0.45,13292.0,8596725.9,39.13,16.5857398415538
565.0,2022-08-30,657.0,658.0,645.3,645.3,-0.57,16576.0,10752450.1,39.13,16.4911832353693
564.0,2022-08-31,650.0,650.0,638.1,638.3,-1.08,27446.0,17631602.2,39.13,16.312292358804
563.0,2022-09-01,638.0,651.0,637.0,641.5,0.5,20303.0,13073432.1,39.13,16.3940710452338
562.0,2022-09-02,649.9,650.0,642.0,645.0,0.55,4993.0,3227492.8,39.13,16.4835164835165
561.0,2022-09-04,645.1,652.0,644.5,648.0,0.47,21391.0,13843247.0,39.13,16.5601840020445
560.0,2022-09-05,639.0,650.0,639.0,647.0,-0.15,19888.0,12865527.2,39.13,16.5346281625351
559.0,2022-09-06,647.0,647.5,638.0,642.9,-0.63,10623.0,6821301.4,39.13,16.4298492205469
558.0,2022-09-07,642.0,654.8,630.0,635.0,-1.23,37836.0,23985156.5,39.13,16.2279580884232
557.0,2022-09-08,640.0,641.0,626.0,630.9,-0.65,29046.0,18308336.6,39.13,16.123179146435
556.0,2022-09-11,627.0,634.9,627.0,630.0,-0.14,17208.0,10836637.3,39.13,16.1001788908766
555.0,2022-09-12,627.0,630.0,626.0,627.1,-0.46,19410.0,12162069.6,39.13,16.0260669562995
554.0,2022-09-13,635.0,635.0,631.0,633.0,0.94,21945.0,13895104.8,39.13,16.1768464094045
553.0,2022-09-14,635.0,650.0,635.0,650.0,2.69,18053.0,11666105.0,39.13,16.6112956810631
552.0,2022-09-15,653.0,653.0,628.1,630.0,-3.08,41415.0,26266552.5,39.13,16.1001788908766
551.0,2022-09-16,621.0,629.9,618.0,627.0,-0.48,19072.0,11919312.7,39.13,16.0235113723486
550.0,2022-09-18,620.1,626.9,617.0,617.1,-1.58,38395.0,23846911.9,39.13,15.7705085612062
549.0,2022-09-20,620.0,620.0,602.0,603.1,-2.27,34869.0,21139720.02,39.13,15.4127268080756
548.0,2022-09-21,615.0,615.0,605.0,610.0,1.14,23401.0,14328316.2,39.13,15.58906210069
547.0,2022-09-22,620.8,620.8,609.0,613.9,0.64,7862.0,4806343.7,39.13,15.6887298747764
546.0,2022-09-25,618.0,620.0,600.3,604.3,-1.56,30846.0,18688918.1,39.13,15.4433938154868
545.0,2022-09-27,610.0,618.0,605.1,609.0,0.78,19390.0,11844853.5,39.13,15.5635062611807
544.0,2022-09-28,609.0,617.0,608.0,612.0,0.49,16060.0,9834718.5,39.13,15.6401737797087
543.0,2022-09-29,612.0,623.0,605.2,618.3,1.03,26572.0,16300959.1,39.13,15.8011755686174
542.0,2022-10-09,629.0,632.0,614.0,632.0,2.22,24888.0,15454855.3,39.13,16.1512905698952
541.0,2022-10-10,633.7,633.7,613.0,621.4,-1.68,18776.0,11636983.0,39.13,15.8803986710963
540.0,2022-10-11,620.0,621.0,608.6,609.0,-2.0,19681.0,12006407.8,39.13,15.5635062611807
539.0,2022-10-12,610.0,617.7,607.3,612.5,0.57,17812.0,10873156.7,39.13,15.6529516994633
538.0,2022-10-13,610.0,615.0,606.0,612.0,-0.08,25259.0,15411972.3,39.13,15.6401737797087
537.0,2022-10-16,620.0,620.0,608.0,609.9,-0.34,14547.0,8864682.3,39.13,15.5865065167391
536.0,2022-10-17,612.0,614.0,610.0,610.0,0.02,9862.0,6030662.8,39.13,15.58906210069
535.0,2022-10-19,615.0,618.0,610.0,615.1,0.84,23531.0,14412154.2,60.77,10.1217706104986
534.0,2022-10-20,615.0,620.0,612.5,615.9,0.13,21739.0,13388024.9,60.77,10.1349350008228
533.0,2022-10-23,617.0,624.9,616.0,618.0,0.34,9212.0,5690098.1,60.77,10.1694915254237
532.0,2022-10-31,629.9,664.0,629.9,660.0,6.8,95003.0,61721232.6,60.77,10.8606220174428
531.0,2022-11-01,665.0,702.0,661.0,695.0,5.3,97337.0,66560215.4,60.77,11.4365640941254
530.0,2022-11-02,700.0,702.0,684.0,693.6,-0.2,52344.0,36410432.7,60.77,11.4135264110581
529.0,2022-11-03,690.0,691.0,678.0,684.0,-1.38,46344.0,31716708.7,60.77,11.255553727168
528.0,2022-11-06,690.0,693.0,678.1,689.0,0.73,45183.0,31016389.0,60.77,11.3378311666941
527.0,2022-11-07,698.0,698.0,678.0,678.0,-1.6,50047.0,34318453.5,60.77,11.1568207997367
526.0,2022-11-08,676.0,680.0,674.0,676.1,-0.28,29430.0,19926154.9,60.77,11.1255553727168
525.0,2022-11-09,685.0,685.0,669.1,670.0,-0.9,24540.0,16520119.3,60.77,11.025176896495
524.0,2022-11-10,672.0,675.0,660.0,660.1,-1.48,38406.0,25559451.9,60.77,10.8622675662333
523.0,2022-11-13,660.1,667.9,650.0,660.0,-0.02,19746.0,13026486.6,60.77,10.8606220174428
522.0,2022-11-14,660.0,671.0,657.0,669.0,1.36,30779.0,20337336.0,60.77,11.0087214085898
521.0,2022-11-15,680.0,680.0,661.0,665.0,-0.6,23607.0,15778546.2,60.77,10.9428994569689
520.0,2022-11-16,666.0,685.0,665.0,680.0,2.26,23582.0,16001360.9,60.77,11.1897317755471
519.0,2022-11-17,692.0,692.0,685.0,688.0,1.18,30365.0,20906729.1,60.77,11.3213756787889
518.0,2022-11-22,699.7,700.0,686.0,686.0,-0.29,22019.0,15249797.9,60.77,11.2884647029784
517.0,2022-11-23,686.0,690.0,681.2,683.0,-0.44,11745.0,8039715.2,60.77,11.2390982392628
516.0,2022-11-24,685.0,690.0,680.0,690.0,1.02,42892.0,29306669.2,60.77,11.3542866545993
515.0,2022-11-27,695.0,700.0,685.2,699.0,1.3,33586.0,23326120.4,60.77,11.5023860457463
514.0,2022-11-28,700.0,705.8,686.5,689.0,-1.43,52802.0,36603806.7,60.77,11.3378311666941
513.0,2022-11-29,680.0,694.0,678.0,688.2,-0.12,24057.0,16536991.1,60.77,11.3246667763699
512.0,2022-11-30,684.0,699.0,684.0,697.0,1.28,24065.0,16724531.8,60.77,11.4694750699358
511.0,2022-12-01,695.0,723.0,693.1,711.5,2.08,57322.0,40652219.1,60.77,11.7080796445615
510.0,2022-12-04,711.5,720.0,710.0,712.9,0.2,46294.0,33160505.5,60.77,11.7311173276288
509.0,2022-12-05,712.0,712.0,697.8,698.0,-2.09,35135.0,24771426.2,60.77,11.485930557841
508.0,2022-12-06,700.0,705.0,692.0,693.0,-0.72,50730.0,35345246.9,60.77,11.403653118315
507.0,2022-12-07,686.0,699.0,686.0,688.3,-0.68,36633.0,25243646.5,60.77,11.3263123251604
506.0,2022-12-11,675.0,685.0,670.1,670.1,-2.64,57943.0,39248832.9,60.77,11.0268224452855
505.0,2022-12-12,666.0,679.9,660.0,679.0,1.33,61536.0,41279677.3,60.77,11.1732762876419
504.0,2022-12-13,679.0,688.0,674.0,676.3,-0.4,26409.0,17928323.4,60.77,11.1288464702978
503.0,2022-12-14,672.0,717.0,672.0,675.1,-0.18,16910.0,11514877.6,60.77,11.1090998848116
502.0,2022-12-15,672.0,678.9,670.1,672.0,-0.46,15343.0,10340985.7,60.77,11.0580878723054
501.0,2022-12-18,665.0,670.0,661.1,665.0,-1.04,25597.0,16977284.8,60.77,10.9428994569689
500.0,2022-12-19,665.0,670.0,661.3,665.2,0.03,11080.0,7382941.0,60.77,10.9461905545499
499.0,2022-12-20,667.0,680.0,666.0,673.0,1.17,14011.0,9456005.9,60.77,11.0745433602106
498.0,2022-12-21,660.0,682.0,660.0,667.3,-0.85,175719.0,118246001.1,60.77,10.9807470791509
497.0,2022-12-22,654.0,666.0,654.0,665.2,-0.31,86046.0,56965324.5,60.77,10.9461905545499
496.0,2022-12-26,673.0,695.0,670.2,694.0,4.33,100520.0,68723509.4,60.77,11.4201086062202
495.0,2022-12-27,700.0,710.0,696.0,700.1,0.88,143766.0,101220431.0,60.77,11.520487082442
494.0,2022-12-28,702.0,706.0,689.0,689.0,-1.59,79579.0,55485563.9,60.77,11.3378311666941
493.0,2022-12-29,702.0,726.0,689.0,722.2,4.82,135700.0,96658165.2,60.77,11.8841533651473
492.0,2023-01-01,727.0,750.0,723.0,738.0,2.19,136249.0,100383387.4,60.77,12.1441500740497
491.0,2023-01-02,738.0,772.8,725.0,765.0,3.66,146722.0,111455088.3,60.77,12.5884482474905
490.0,2023-01-03,775.0,775.0,755.0,767.9,0.38,125746.0,96695094.8,60.77,12.6361691624157
489.0,2023-01-04,760.0,797.0,760.0,784.0,2.1,100499.0,77942870.9,60.77,12.9011025176896
488.0,2023-01-05,799.6,805.0,778.0,790.0,0.77,150073.0,118444306.0,60.77,12.9998354451209
